species,group,gen_time_yr,u_per_gen,u_per_year
Acrocephalus_arundinaceus,birds,3.24,7.16E-09,2.20988E-09
Acyrthosiphon_pisum,arthropods,0.044,2.70E-10,6.13636E-09
Ailurus_fulgens,mammals,10,1.30E-08,1.3E-09
Amphilophus,fish,1.5,5.16E-08,3.44E-08
Amphiprion_ocellaris,fish,1,7.36E-09,7.36E-09
Anopheles_coluzzii,arthropods,0.08,1.00E-09,1.25E-08
Anopheles_gambiae,arthropods,0.06,2.57E-09,4.28333E-08
Anopheles_stephensi,arthropods,0.05,1.36E-09,2.72E-08
Aotus_nancymaae,mammals,8.35,8.14E-09,9.7485E-10
Apis_mellifera,arthropods,0.08,3.40E-09,4.25E-08
Aptenodytes_forsteri,birds,20.46,1.41E-08,6.8915E-10
Ara_glaucogularis,birds,8.14,1.00E-08,1.2285E-09
Arabidopsis_thaliana,plants,0.12,6.90E-09,5.75E-08
Arctocephalus_gazella,mammals,9.16,6.78E-09,7.40175E-10
Balaena_mysticetus,mammals,52,1.20E-08,2.30769E-10
Balaenoptera_musculus,mammals,31,1.24E-08,4E-10
Balaenoptera_physalus,mammals,26,8.80E-09,3.38462E-10
Bathycoccus_prasinos,protists,0.00442,3.02E-10,6.83258E-08
Betta_splendens,fish,0.5,4.36E-09,8.72E-09
Bombus_terrestris,arthropods,0.1,3.58E-09,3.58E-08
Bombyx_mori,arthropods,0.16,4.10E-09,2.5625E-08
Bos_taurus,mammals,6,1.17E-08,1.95E-09
Brassica_rapa,plants,1,9.10E-09,9.1E-09
Bubo_scandiacus,birds,7.77,9.79E-10,1.25997E-10
Caenorhabditis_briggsae,nematodes,0.164,1.33E-09,8.10976E-09
Caenorhabditis_elegans,nematodes,0.008,4.78E-09,5.975E-07
Caenorhabditis_remanei,nematodes,0.01,2.96E-09,0.000000296
Callithrix_jacchus,mammals,5.91,4.30E-09,7.2758E-10
Canis_lupus,mammals,7.9,4.50E-09,5.6962E-10
Canis_lupus_familiaris,mammals,2,8.68E-09,4.34E-09
Capra_hircus,mammals,2,5.25E-09,2.625E-09
Cavia_aperea,mammals,1.7,8.72E-09,5.12941E-09
Ceratotherium_simum_simum,mammals,18.81,9.56E-09,5.0824E-10
Cervus_elaphus_yarkandensis,mammals,6.3,6.71E-09,1.06508E-09
Cervus_nippon,mammals,9.59,4.70E-09,4.90094E-10
Chauna_torquata,birds,7.21,7.06E-09,9.79196E-10
Chironomus_riparius,arthropods,0.0576,3.53E-09,6.12847E-08
Chlamydomonas_incerta,protists,0.00105,1.16E-09,1.10476E-06
Chlamydomonas_reinhardtii,protists,0.0011,8.86E-10,8.05455E-07
Chlorocebus_sabaeus,mammals,14.89,9.40E-09,6.31296E-10
Chrysemys_picta,reptiles,11,4.61E-09,4.19091E-10
Clupea_harengus,fish,6,2.00E-09,3.33333E-10
Coleonyx_brevis,reptiles,2,6.33E-09,3.165E-09
Coturnix_japonica,birds,2.17,5.67E-09,2.6129E-09
Cyanistes_caeruleus,birds,2.77,5.19E-09,1.87365E-09
Cynoglossus_semilaevis,fish,2,9.13E-09,4.565E-09
Cyprinus_carpio,fish,5.5,5.62E-09,1.02182E-09
Daphnia_galeata,arthropods,0.0556,7.45E-10,1.33993E-08
Daphnia_magna,arthropods,0.04,8.69E-09,2.1725E-07
Daphnia_pulex,arthropods,0.027,2.05E-09,7.59259E-08
Dictyostelium_discoideum,protists,0.00046,2.49E-11,5.41304E-08
Drosophila_melanogaster,arthropods,0.055,5.64E-09,1.02545E-07
Drosophila_pseudoobscura,arthropods,0.074,3.50E-09,4.72973E-08
Drosophila_simulans,arthropods,0.068,4.51E-09,6.63235E-08
Ectocarpus_siliculosus,protists,0.164,4.07E-10,2.48171E-09
Elephas_maximus,mammals,22,5.30E-09,2.40909E-10
Emiliania_huxleyi,protists,0.0027,5.55E-10,2.05556E-07
Eublepharis_macularius,reptiles,2,5.74E-09,2.87E-09
Felis_catus,mammals,2,8.17E-09,4.085E-09
Ficedula_albicollis,birds,2.69,4.60E-09,1.71004E-09
Fukomys_damarensis,mammals,5.57,7.41E-09,1.33034E-09
Gallus_gallus_domesticus,birds,2,3.62E-09,1.81E-09
Giraffa_camelopardalis,mammals,14.39,1.00E-08,6.94927E-10
Gorilla_gorilla,mammals,22,1.13E-08,5.13636E-10
Gyps_fulvus,birds,15.03,2.61E-09,1.73653E-10
Hanseniaspora_osmophila,fungi,0.00017,1.66E-10,9.76471E-07
Hanseniaspora_uvarum,fungi,0.00015,1.60E-10,1.06667E-06
Heliconius_melpomene,arthropods,0.25,2.90E-09,1.16E-08
Hippopotamus_amphibius,mammals,10,1.18E-08,1.18E-09
Homo_sapiens,mammals,29,1.24E-08,4.27586E-10
Hylobates_lar,mammals,15,7.05E-09,4.7E-10
Larimichthys_crocea,fish,2,2.25E-09,1.125E-09
Larus_argentatus,birds,12.45,7.41E-09,5.95181E-10
Larus_marinus,birds,12.24,8.72E-09,7.12418E-10
Lemna_minor_,plants,0.005,8.66E-11,1.732E-08
Loxodonta_africana,mammals,25,3.90E-09,1.56E-10
Macaca_mulatta,mammals,13.86,6.57E-09,4.74026E-10
Mandrillus_leucophaeus,mammals,10,6.33E-09,6.33E-10
Marasmius_oreades,fungi,10,7.25E-08,7.25E-09
Megaptera_novaeangliae,mammals,22,1.12E-08,5.09091E-10
Microcebus_murinus,mammals,5.63,1.52E-08,2.69982E-09
Monodelphis_domestica,mammals,1.96,4.60E-09,2.34694E-09
Moschus_berezovskii,mammals,7,1.00E-08,1.42857E-09
Mus_musculus,mammals,1.72,5.08E-09,2.95349E-09
Neofelis_nebulosa,mammals,6.99,6.23E-09,8.91273E-10
Neogale_vison,mammals,4.04,4.64E-09,1.14851E-09
Neurospora_crassa,fungi,0.058,6.70E-10,1.15517E-08
Odobenus_rosmarus,mammals,15.15,1.32E-08,8.71287E-10
Orcinus_orca,mammals,25.7,1.41E-08,5.48638E-10
Ornithorhynchus_anatinus,mammals,7.89,7.01E-09,8.88466E-10
Oryza_sativa,plants,0.31,1.03E-08,3.32258E-08
Ostreococcus_tauri,protists,0.002,4.19E-10,2.095E-07
Pan_troglodytes,mammals,20,1.16E-08,5.8E-10
Panagrolaimus_sp.PS1159,nematodes,0.025,5.83E-10,2.332E-08
Panthera_leo,mammals,6,6.43E-09,1.07167E-09
Panthera_onca,mammals,9.81,6.62E-09,6.74822E-10
Panthera_pardus,mammals,9.32,5.13E-09,5.50429E-10
Panthera_tigris,mammals,8,8.44E-09,1.055E-09
Panthera_uncia,mammals,8,4.97E-09,6.2125E-10
Papio_anubis,mammals,10.5,5.70E-09,5.42857E-10
Paralichthys_olivaceus,fish,5,8.52E-09,1.704E-09
Paramecium_tetraurelia,protists,0.0018,1.94E-11,1.07778E-08
Pelecanus_crispus,birds,11.85,9.12E-09,7.6962E-10
Phaeodactylum_tricornutum,protists,0.0027,4.77E-10,1.76667E-07
Phoenicopterus_roseus,birds,14.79,1.65E-08,1.11562E-09
Pithecia_pithecia,mammals,9.7,9.92E-09,1.02268E-09
Plasmodium_falciparum,protists,0.0055,5.24E-10,9.52727E-08
Platalea_ajaja,birds,8.63,1.69E-08,1.95829E-09
Poecilia_reticulata,fish,0.6,9.26E-09,1.54333E-08
Pogona_vitticeps,reptiles,2,1.43E-08,7.15E-09
Pongo_abelii,mammals,25,1.66E-08,6.64E-10
Pristionchus_pacificus,nematodes,0.0096,2.00E-09,2.08333E-07
Procavia_capensis,mammals,8.44,9.18E-09,1.08768E-09
Propanagrolaimus_sp.JU765,nematodes,0.022,8.92E-10,4.05455E-08
Prunus_persica,plants,3,8.16E-09,2.72E-09
Pungitius_pungitius,fish,1,4.37E-09,4.37E-09
Pygoscelis_adeliae,birds,11.76,1.50E-08,1.27551E-09
Rangifer_tarandus,mammals,5,5.89E-09,1.178E-09
Rhea_pennata,birds,11.89,3.97E-08,3.33894E-09
Rhodotorula_toruloides,fungi,0.0005,1.90E-10,0.00000038
Rousettus_aegyptiacus,mammals,5,8.10E-09,1.62E-09
Saccharomyces_cerevisiae,fungi,0.00017,2.57E-10,1.51176E-06
Saccharomyces_paradoxus,fungi,0.0005,7.27E-11,1.454E-07
Saccharomycodes_ludwigii,fungi,0.00034,7.30E-11,2.14706E-07
Saimiri_boliviensis_boliviensis,mammals,9.19,6.92E-09,7.52992E-10
Salmo_salar,fish,3,4.31E-09,1.43667E-09
Sarcophilus_harrisii,mammals,4.67,5.94E-09,1.27195E-09
Saxicola_maurus,birds,3.3,6.68E-09,2.02424E-09
Schizophyllum_commune,fungi,0.027,2.00E-08,7.40741E-07
Schizosaccharomyces_pombe,fungi,0.00034,1.64E-10,4.82353E-07
Silene_latifolia,plants,1.5,7.31E-09,4.87333E-09
Sphaerodactylus_inigoi,reptiles,1.5,1.36E-08,9.06667E-09
Spirodela_polyrhiza,plants,0.006,9.09E-11,1.515E-08
Sus_scrofa,mammals,7.28,3.93E-09,5.39835E-10
Syngnathus_scovelli,fish,1,5.61E-09,5.61E-09
Taeniopygia_guttata,birds,2.91,5.84E-09,2.00687E-09
Tapirus_indicus,mammals,11,4.80E-09,4.36364E-10
